No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;
194;3,354778;;3,354778;3,354778;0;;0;0;0;;;
195;3,354778;;3,354778;3,354778;0;;0;0;0;;;
196;3,354778;;3,354778;3,354778;0;;0;0;0;;;
197;3,354778;;3,354778;3,354778;0;;0;0;0;;;
198;3,354778;;3,354778;3,354778;0;;0;0;0;;;
199;3,354778;;3,354778;3,354778;0;;0;0;0;;;
200;3,354778;;3,354778;3,354778;0;;0;0;0;;;
201;3,354778;;3,354778;3,354778;0;;0;0;0;;;
202;3,354778;;3,354778;3,354778;0;;0;0;0;;;
203;3,354778;;3,354778;3,354778;0;;0;0;0;;;
204;3,354778;;3,354778;3,354778;0;;0;0;0;;;
205;3,354778;;3,354778;3,354778;0;;0;0;0;;;
206;3,354778;;3,354778;3,354778;0;;0;0;0;;;
207;3,354778;;3,354778;3,354778;0;;0;0;0;;;
208;3,354778;;3,354778;3,354778;0;;0;0;0;;;
209;3,354778;;3,354778;3,354778;0;;0;0;0;;;
210;3,354778;;3,354778;3,354778;0;;0;0;0;;;
211;3,354778;;3,354778;3,354778;0;;0;0;0;;;
212;3,354778;;3,354778;3,354778;0;;0;0;0;;;
213;3,354778;;3,354778;3,354778;0;;0;-0,000548;-0,000548;;;
214;3,354778;;3,354778;3,354778;0;;-0,000548;0,000548;0,001096;;;
215;3,354778;;3,354778;3,355326;0,000548;;0,000548;-0,000174;-0,000722;;;
216;3,355326;;3,355326;3,355326;0;;-0,000174;-0,000165;9,00E-06;;;
217;3,355326;;3,355326;3,3555;0,000174;;-0,000165;-0,000262;-9,70E-05;;;
218;3,3555;;3,3555;3,355839;0,000339;;-0,000262;-0,005823;-0,005561;;;
219;3,355839;;3,355839;3,35644;0,000601;;-0,005823;0,005848;0,011671;;;
220;3,35644;;3,35644;3,362864;0,006424;;0,005848;-0,00197;-0,007818;;;
221;3,362864;;3,362864;3,36344;0,000576;;-0,00197;0,002546;0,004516;;;
222;3,36344;;3,36344;3,365986;0,002546;;0,002546;-0,002128;-0,004674;;;
223;3,365986;;3,365986;3,365986;0;;-0,002128;0,000427;0,002555;;;
224;3,365986;;3,365986;3,368114;0,002128;;0,000427;0,001701;0,001274;;;
225;3,368114;;3,368114;3,369815;0,001701;;0,001701;-0,000303;-0,002004;;;
226;3,369815;;3,369815;3,369815;0;;-0,000303;-0,0024;-0,002097;;;
227;3,369815;;3,369815;3,370118;0,000303;;-0,0024;0,00212;0,00452;;;
228;3,370118;;3,370118;3,372821;0,002703;;0,00212;-0,001853;-0,003973;;;
229;3,372821;;3,372821;3,373404;0,000583;;-0,001853;0,002436;0,004289;;;
230;3,373404;;3,373404;3,37584;0,002436;;0,002436;-0,000115;-0,002551;;;
231;3,37584;;3,37584;3,37584;0;;-0,000115;-0,000684;-0,000569;;;
232;3,37584;;3,37584;3,375955;0,000115;;-0,000684;-0,002668;-0,001984;;;
233;3,375955;;3,375955;3,376754;0,000799;;-0,002668;0,003467;0,006135;;;
234;3,376754;;3,376754;3,380221;0,003467;;0,003467;-0,000132;-0,003599;;;
235;3,380221;;3,380221;3,380221;0;;-0,000132;-0,001713;-0,001581;;;
236;3,380221;;3,380221;3,380353;0,000132;;-0,001713;0,001231;0,002944;;;
237;3,380353;;3,380353;3,382198;0,001845;;0,001231;-0,000411;-0,001642;;;
238;3,382198;;3,382198;3,382812;0,000614;;-0,000411;-0,000373;3,80E-05;;;
239;3,382812;;3,382812;3,383837;0,001025;;-0,000373;0,001398;0,001771;;;
240;3,383837;;3,383837;3,385235;0,001398;;0,001398;-0,001189;-0,002587;;;
241;3,385235;;3,385235;3,385235;0;;-0,001189;0,001189;0,002378;;;
242;3,385235;;3,385235;3,386424;0,001189;;0,001189;-0,000258;-0,001447;;;
243;3,386424;;3,386424;3,386424;0;;-0,000258;-0,001893;-0,001635;;;
244;3,386424;;3,386424;3,386682;0,000258;;-0,001893;0,002151;0,004044;;;
245;3,386682;;3,386682;3,388833;0,002151;;0,002151;-0,001049;-0,0032;;;
246;3,388833;;3,388833;3,388833;0;;-0,001049;0,001049;0,002098;;;
247;3,388833;;3,388833;3,389882;0,001049;;0,001049;-0,003315;-0,004364;;;
248;3,389882;;3,389882;3,389882;0;;-0,003315;0,003315;0,00663;;;
249;3,389882;;3,389882;3,393197;0,003315;;0,003315;-0,001228;-0,004543;;;
250;3,393197;;3,393197;3,393197;0;;-0,001228;0,001228;0,002456;;;
251;3,393197;;3,393197;3,394425;0,001228;;0,001228;-0,000185;-0,001413;;;
252;3,394425;;3,394425;3,394425;0;;-0,000185;-0,000252;-6,70E-05;;;
253;3,394425;;3,394425;3,39461;0,000185;;-0,000252;0,000138;0,00039;;;
254;3,39461;;3,39461;3,395047;0,000437;;0,000138;-0,001593;-0,001731;;;
255;3,395047;;3,395047;3,395346;0,000299;;-0,001593;0,001144;0,002737;;;
